Specimen properties : Specimen label,Nylon 6,
Specimen text inputs : Specimen Name,Nylon 6,
Specimen properties : Length,100,mm
Specimen properties : Thickness,3,mm
Specimen properties : Width,10,mm
Test : Rate 1,20,mm/min
,,
Time,Displacement,Force
(s),(mm),(N)
15.26,5.0872,742.766
15.28,5.0939,743.067
15.3,5.1002,743.3963
15.32,5.1068,743.7542
15.34,5.1138,744.1049
15.36,5.1205,744.5195
15.38,5.1272,744.9465
15.4,5.134,745.3199
15.42,5.1405,745.6795
15.44,5.1471,746.0312
15.46,5.1538,746.3771
15.48,5.1607,746.7642
15.5,5.1673,747.1688
15.52,5.174,747.5346
15.54,5.1811,747.9287
15.56,5.188,748.3674
15.58,5.1943,748.7545
15.6,5.2009,749.0883
15.62,5.2074,749.4461
15.64,5.2138,749.766
15.66,5.2204,750.056
15.68,5.2271,750.3465
15.7,5.2336,750.6993
15.72,5.2401,751.0696
15.74,5.2471,751.4171
15.76,5.2538,751.8288
15.78,5.2604,752.2267
15.8,5.2673,752.5706
15.82,5.2741,752.9509
15.84,5.2806,753.3484
15.86,5.2872,753.7193
15.88,5.2942,754.0748
15.9,5.301,754.463
15.92,5.3077,754.8497
15.94,5.3146,755.2328
15.96,5.3211,755.6384
15.98,5.3274,755.9426
16,5.3337,756.1746
16.02,5.3404,756.4495
16.04,5.3467,756.7678
16.06,5.3533,757.0858
16.08,5.3604,757.4482
16.1,5.3672,757.8516
16.12,5.3739,758.2656
16.14,5.3809,758.6602
16.16,5.3875,759.0711
16.18,5.3938,759.4124
16.2,5.4006,759.7007
16.22,5.4073,760.0282
16.24,5.4139,760.4025
16.26,5.4206,760.7646
16.28,5.4277,761.1515
16.3,5.4345,761.5762
16.32,5.4407,761.9513
16.34,5.4474,762.2411
16.36,5.4538,762.5648
16.38,5.4602,762.8658
16.4,5.4668,763.1301
16.42,5.4736,763.4512
16.44,5.4803,763.8107
16.46,5.487,764.1638
16.48,5.4941,764.5483
16.5,5.5009,764.9623
16.52,5.5074,765.3482
16.54,5.5141,765.7189
16.56,5.5207,766.0514
16.58,5.5272,766.3886
16.6,5.5341,766.6995
16.62,5.5411,767.0266
16.64,5.5479,767.4493
16.66,5.5544,767.8391
16.68,5.5614,768.1721
16.7,5.5677,768.5281
16.72,5.574,768.838
16.74,5.5804,769.0592
16.76,5.587,769.306
16.78,5.5934,769.6152
16.8,5.6,769.9202
16.82,5.607,770.2173
16.84,5.614,770.6141
16.86,5.6207,771.0685
16.88,5.6277,771.4915
16.9,5.6344,771.8929
16.92,5.6408,772.2271
16.94,5.6474,772.5009
16.96,5.6543,772.8138
16.98,5.6608,773.1622
17,5.6674,773.4815
17.02,5.6742,773.7905
17.04,5.681,774.1193
17.06,5.6874,774.4802
17.08,5.6941,774.7897
17.1,5.7004,775.0922
17.12,5.7068,775.374
17.14,5.7133,775.603
17.16,5.7203,775.8965
17.18,5.727,776.2877
17.2,5.7337,776.6633
17.22,5.741,777.0332
17.24,5.7479,777.4542
17.26,5.7544,777.8559
17.28,5.761,778.1702
17.3,5.7676,778.4614
17.32,5.774,778.7697
17.34,5.7806,779.0521
17.36,5.7874,779.3441
17.38,5.7942,779.706
17.4,5.8008,780.0568
17.42,5.8076,780.3599
17.44,5.8141,780.6949
17.46,5.8204,781.0103
17.48,5.8267,781.2641
17.5,5.8336,781.5333
17.52,5.8403,781.8712
17.54,5.8471,782.2106
17.56,5.854,782.5652
17.58,5.8609,782.9628
17.6,5.8674,783.3512
17.62,5.8742,783.6837
17.64,5.8811,784.0176
17.66,5.8875,784.3625
17.68,5.8943,784.6798
17.7,5.901,784.9829
17.72,5.9075,785.3199
17.74,5.9139,785.5846
17.76,5.9208,785.8678
17.78,5.9273,786.2244
17.8,5.9337,786.5123
17.82,5.9403,786.7749
17.84,5.9472,787.0638
17.86,5.9535,787.4211
17.88,5.9602,787.7138
17.9,5.9671,787.9871
17.92,5.974,788.3455
17.94,5.9806,788.7315
17.96,5.9875,789.0643
17.98,5.9945,789.4545
18,6.0011,789.857
18.02,6.0078,790.1691
18.04,6.0145,790.4862
18.06,6.0208,790.8067
18.08,6.0272,791.0507
18.1,6.0341,791.2911
18.12,6.0407,791.6038
18.14,6.047,791.9039
18.16,6.0538,792.1965
18.18,6.0605,792.5209
18.2,6.067,792.8622
18.22,6.0735,793.1317
18.24,6.0803,793.3956
18.26,6.0871,793.7133
18.28,6.0937,794.0538
18.3,6.1006,794.4025
18.32,6.1076,794.8024
18.34,6.1141,795.1533
18.36,6.1211,795.4686
18.38,6.1279,795.8209
18.4,6.1344,796.159
18.42,6.1409,796.442
18.44,6.1476,796.7099
18.46,6.1541,797.0003
18.48,6.1604,797.2849
18.5,6.1671,797.5289
18.52,6.1737,797.8077
18.54,6.1803,798.1107
18.56,6.1871,798.4112
18.58,6.194,798.7496
18.6,6.2005,799.1002
18.62,6.207,799.3796
18.64,6.214,799.6709
18.66,6.2208,800.0239
18.68,6.2274,800.3843
18.7,6.2343,800.6993
18.72,6.2411,801.0332
18.74,6.2476,801.3801
18.76,6.2542,801.6661
18.78,6.261,801.9492
18.8,6.2673,802.2605
18.82,6.2737,802.5181
18.84,6.2806,802.7579
18.86,6.2872,803.0508
18.88,6.2935,803.3621
18.9,6.3003,803.6183
18.92,6.3072,803.9248
18.94,6.3138,804.2873
18.96,6.3203,804.615
18.98,6.3273,804.9099
19,6.3339,805.2346
19.02,6.3404,805.5422
19.04,6.3474,805.8105
19.06,6.3541,806.1512
19.08,6.3608,806.5181
19.1,6.3677,806.8446
19.12,6.3745,807.149
19.14,6.381,807.468
19.16,6.3874,807.7596
19.18,6.3941,808.0143
19.2,6.4005,808.2878
19.22,6.4068,808.5231
19.24,6.4135,808.726
19.26,6.4202,809.0021
19.28,6.4269,809.3242
19.3,6.4337,809.6456
19.32,6.4406,809.9915
19.34,6.4474,810.3441
